tag,band,site,target,layer,n,R2_real,R2_control_task,R2_shuffled,R2_linearBC_baseline,selectivity,baseline_gap,headroom_above_baseline,verdict
base,"(2, 99)",C1_equals,B_times_C,7,400,0.922048,-0.0331594,-0.129995,0.864832,0.955208,0.057216,0.135168,OPERANDS_ONLY
base,"(2, 99)",C1_equals,B,3,400,0.973756,-0.042493,-0.151523,0.999919,1.01625,-0.0261631,8.09628e-05,OPERANDS_ONLY
base,"(2, 99)",C1_equals,C,2,400,0.996918,-0.0223423,-0.109771,0.999924,1.01926,-0.00300649,7.56847e-05,OPERANDS_ONLY
base,"(2, 99)",C1_rparen,B,3,400,0.997304,-0.0630818,-0.0736021,0.999919,1.06039,-0.00261497,8.09628e-05,OPERANDS_ONLY
base,"(2, 99)",C1_rparen,B_times_C,16,400,0.375251,-0.0147239,-0.0681879,0.864832,0.389975,-0.489581,0.135168,OPERANDS_ONLY
base,"(2, 99)",C4_equals,B_times_C,5,400,0.953086,-0.0215148,-0.139287,0.864832,0.974601,0.0882539,0.135168,OPERANDS_ONLY
instruct,"(2, 99)",C1_equals,B_times_C,7,400,0.913022,-0.0377934,-0.129811,0.864832,0.950816,0.04819,0.135168,OPERANDS_ONLY
instruct,"(2, 99)",C1_equals,B,3,400,0.971208,-0.0337381,-0.134411,0.999919,1.00495,-0.0287113,8.09628e-05,OPERANDS_ONLY
instruct,"(2, 99)",C1_equals,C,2,400,0.995859,-0.0124846,-0.0918026,0.999924,1.00834,-0.00406557,7.56847e-05,OPERANDS_ONLY
instruct,"(2, 99)",C1_rparen,B,3,400,0.997028,-0.0830377,-0.0815906,0.999919,1.08007,-0.00289073,8.09628e-05,OPERANDS_ONLY
instruct,"(2, 99)",C1_rparen,B_times_C,0,400,0.364293,-0.0478763,-0.0942762,0.864832,0.412169,-0.500539,0.135168,OPERANDS_ONLY
instruct,"(2, 99)",C4_equals,B_times_C,6,400,0.948733,-0.0359741,-0.146252,0.864832,0.984707,0.0839005,0.135168,OPERANDS_ONLY
