tag,site,condition,layer,mean_delta,ci_lo,ci_hi,flip_rate,n
base,rparen,inject,0,0.005625,-0.003125,0.014375,1,200
base,rparen,inject,2,0.00125,-0.006875,0.00939063,1,200
base,rparen,inject,4,-0.00125,-0.009375,0.006875,1,200
base,rparen,inject,6,0.00625,-0.001875,0.014375,1,200
base,rparen,inject,8,0.0025,-0.005,0.01,1,200
base,rparen,inject,10,-0.0025,-0.01,0.005,1,200
base,rparen,inject,12,0,-0.00875,0.008125,1,200
base,rparen,inject,14,-0.00125,-0.00875,0.00625,1,200
base,rparen,inject,16,-0.0025,-0.01,0.005,1,200
base,rparen,inject,18,0.005,-0.003125,0.013125,1,200
base,rparen,inject,20,0.00375,-0.004375,0.011875,1,200
base,rparen,inject,22,-0.001875,-0.009375,0.005625,1,200
base,rparen,inject,24,-0.00125,-0.00875,0.005625,1,200
base,rparen,inject,26,0.005,-0.001875,0.011875,1,200
base,rparen,inject,28,0.000625,-0.006875,0.008125,1,200
base,rparen,inject,30,0.00125,-0.003125,0.005625,1,200
base,rparen,inject,31,0,0,0,1,200
base,rparen,random,0,0.006875,-0.001875,0.015625,1,200
base,rparen,random,2,-0.000625,-0.009375,0.008125,1,200
base,rparen,random,4,0.003125,-0.005625,0.011875,1,200
base,rparen,random,6,0.00125,-0.00625,0.00875,1,200
base,rparen,random,8,0.001875,-0.00625,0.01,1,200
base,rparen,random,10,-0.0025,-0.010625,0.005625,1,200
base,rparen,random,12,0,-0.0075,0.0075,1,200
base,rparen,random,14,0.00375,-0.00375,0.01125,1,200
base,rparen,random,16,0.000625,-0.0075,0.00875,1,200
base,rparen,random,18,0.00125,-0.00625,0.00875,1,200
base,rparen,random,20,0.0025,-0.005,0.01,1,200
base,rparen,random,22,0.001875,-0.005625,0.009375,1,200
base,rparen,random,24,-0.000625,-0.008125,0.00625,1,200
base,rparen,random,26,0.005625,-0.00125,0.0125,1,200
base,rparen,random,28,0.0025,-0.005625,0.010625,1,200
base,rparen,random,30,0.001875,-0.003125,0.006875,1,200
base,rparen,random,31,0,0,0,1,200
base,rparen,shuffled,0,-0.003125,-0.010625,0.004375,1,200
base,rparen,shuffled,2,-0.001875,-0.010625,0.00625,1,200
base,rparen,shuffled,4,0.000625,-0.006875,0.008125,1,200
base,rparen,shuffled,6,0.00125,-0.0075,0.009375,1,200
base,rparen,shuffled,8,0.000625,-0.006875,0.008125,1,200
base,rparen,shuffled,10,-0.004375,-0.0125,0.00375,1,200
base,rparen,shuffled,12,-0.000625,-0.008125,0.006875,1,200
base,rparen,shuffled,14,0,-0.008125,0.008125,1,200
base,rparen,shuffled,16,0.00375,-0.004375,0.011875,1,200
base,rparen,shuffled,18,0.005,-0.0025,0.013125,1,200
base,rparen,shuffled,20,0.0025,-0.004375,0.009375,1,200
base,rparen,shuffled,22,0.0025,-0.004375,0.009375,1,200
base,rparen,shuffled,24,-0.001875,-0.009375,0.005,1,200
base,rparen,shuffled,26,-0.000625,-0.008125,0.006875,1,200
base,rparen,shuffled,28,0.006875,-0.000625,0.014375,1,200
base,rparen,shuffled,30,0.004375,-0.00125,0.01,1,200
base,rparen,shuffled,31,0,0,0,1,200
base,equals,inject,0,0.0025,-0.005625,0.010625,1,200
base,equals,inject,2,0.00125,-0.006875,0.009375,1,200
base,equals,inject,4,0.001875,-0.005,0.00875,1,200
base,equals,inject,6,0.000625,-0.008125,0.00875,1,200
base,equals,inject,8,0.00125,-0.006875,0.009375,1,200
base,equals,inject,10,0.005625,-0.001875,0.013125,1,200
base,equals,inject,12,0.003125,-0.005,0.01125,1,200
base,equals,inject,14,0.00125,-0.005625,0.008125,1,200
base,equals,inject,16,0.003125,-0.004375,0.010625,1,200
base,equals,inject,18,0.004375,-0.00375,0.0125,1,200
base,equals,inject,20,0.005,-0.0025,0.0125,1,200
base,equals,inject,22,0.00125,-0.006875,0.009375,1,200
base,equals,inject,24,-0.000625,-0.008125,0.006875,1,200
base,equals,inject,26,0.001875,-0.005625,0.009375,1,200
base,equals,inject,28,0.00125,-0.005625,0.008125,1,200
base,equals,inject,30,0.00625,-0.000625,0.013125,1,200
base,equals,inject,31,-0.00375,-0.0075,0,1,200
