tag,role,best_layer,exact_recovery_best,attr_denoise_best,verdict
base,plus,0,0,0,DISTRIBUTED_NO_LOCUS
base,b_last,2,0.500611,2.04089,DISTRIBUTED_NO_LOCUS
base,rparen,9,0.00101566,-0.00937742,DISTRIBUTED_NO_LOCUS
base,star,7,0.00205549,0.0297814,DISTRIBUTED_NO_LOCUS
base,c_last,0,0.499694,0.85385,DISTRIBUTED_NO_LOCUS
base,equals,24,0.00841017,0.124375,DISTRIBUTED_NO_LOCUS
instruct,plus,0,0,0,DISTRIBUTED_NO_LOCUS
instruct,b_last,2,0.501031,2.12981,DISTRIBUTED_NO_LOCUS
instruct,rparen,3,0.00157509,0.0212643,DISTRIBUTED_NO_LOCUS
instruct,star,4,0.00181336,0.0216733,DISTRIBUTED_NO_LOCUS
instruct,c_last,0,0.500067,0.566748,DISTRIBUTED_NO_LOCUS
instruct,equals,24,0.00482869,0.0700397,DISTRIBUTED_NO_LOCUS
