tag,surface,position,target,best_layer,r2_best
base,C1,rparen,B,3,0.998834
base,C1,rparen,BC,14,0.439113
base,C1,star,B,4,0.998631
base,C1,star,BC,15,0.436354
base,C1,c_operand,B,5,0.912288
base,C1,c_operand,BC,5,0.943139
base,C1,equals,B,3,0.966865
base,C1,equals,BC,6,0.966888
base,C4,equals,BC,4,0.981984
instruct,C1,rparen,B,3,0.998698
instruct,C1,rparen,BC,1,0.43451
instruct,C1,star,B,3,0.9987
instruct,C1,star,BC,1,0.435797
instruct,C1,c_operand,B,3,0.888325
instruct,C1,c_operand,BC,3,0.925963
instruct,C1,equals,B,3,0.959361
instruct,C1,equals,BC,6,0.964793
instruct,C4,equals,BC,4,0.977113
