tag,site,target,layer,n,R2_real,R2_control_task,R2_shuffled,R2_linearBC_baseline,selectivity,baseline_gap,verdict
base,C1_rparen,B,3,400,0.998893,-0.0344332,-0.104371,0.99949,1.03333,-0.000596711,OPERANDS_ONLY
base,C1_rparen,B_times_C,14,400,0.438993,-0.0133418,-0.0709221,0.967883,0.452334,-0.52889,OPERANDS_ONLY
base,C1_rparen,C,29,400,-0.0282776,-0.0065917,-0.0424373,0.999523,-0.0216859,-1.0278,NOT_SELECTIVE
base,C1_equals,B_times_C,6,400,0.967652,-0.0840353,-0.0851591,0.967883,1.05169,-0.000230822,OPERANDS_ONLY
base,C1_equals,B,3,400,0.9666,-0.108436,-0.0883976,0.99949,1.07504,-0.0328897,OPERANDS_ONLY
base,C1_equals,C,2,400,0.998043,-0.104174,-0.0285737,0.999523,1.10222,-0.00148047,OPERANDS_ONLY
base,C4_equals,B_times_C,4,400,0.981444,-0.0951997,-0.0694511,0.967883,1.07664,0.013561,OPERANDS_ONLY
instruct,C1_rparen,B,3,400,0.998698,-0.0335303,-0.101452,0.99949,1.03223,-0.000791996,OPERANDS_ONLY
instruct,C1_rparen,B_times_C,1,400,0.43451,-0.0229287,-0.0831643,0.967883,0.457438,-0.533373,OPERANDS_ONLY
instruct,C1_rparen,C,31,400,-0.0565841,-0.0137792,-0.0539192,0.999523,-0.0428049,-1.05611,NOT_SELECTIVE
instruct,C1_equals,B_times_C,6,400,0.964793,-0.0923705,-0.0936871,0.967883,1.05716,-0.00308986,OPERANDS_ONLY
instruct,C1_equals,B,3,400,0.959361,-0.0987051,-0.0894818,0.99949,1.05807,-0.040129,OPERANDS_ONLY
instruct,C1_equals,C,2,400,0.997793,-0.0971742,-0.0375724,0.999523,1.09497,-0.00173077,OPERANDS_ONLY
instruct,C4_equals,B_times_C,4,400,0.977113,-0.0968454,-0.0833757,0.967883,1.07396,0.00923026,OPERANDS_ONLY
