tag,wrapper,surface,op,acc,acc_ci_lo,acc_ci_hi,drop_vs_bare
base,bare,B,mul,0.8375,0.7982,0.8704,0
base,bare,B,add,1,0.9905,1.0000,0
base,paren,( B ),mul,0.495,0.4463,0.5438,0.3425
base,paren,( B ),add,0.9975,0.9860,0.9996,0.0025
base,add0L,( 0 + B ),mul,0.5075,0.4587,0.5562,0.33
base,add0L,( 0 + B ),add,0.9925,0.9782,0.9974,0.0075
base,add0R,( B + 0 ),mul,0.8225,0.7820,0.8568,0.015
base,add0R,( B + 0 ),add,1,0.9905,1.0000,0
base,sub0,( B - 0 ),mul,0.7625,0.7184,0.8016,0.075
base,sub0,( B - 0 ),add,1,0.9905,1.0000,0
base,mul1L,( 1 * B ),mul,0.6025,0.5538,0.6493,0.235
base,mul1L,( 1 * B ),add,0.99,0.9746,0.9961,0.01
base,mul1R,( B * 1 ),mul,0.6875,0.6405,0.7310,0.15
base,mul1R,( B * 1 ),add,0.98,0.9610,0.9898,0.02
base,nest2,(( 0 + B )),mul,0.6475,0.5995,0.6927,0.19
base,nest2,(( 0 + B )),add,0.835,0.7955,0.8682,0.165
base,nest3,((( 0 + B ))),mul,0.615,0.5664,0.6614,0.2225
base,nest3,((( 0 + B ))),add,0.665,0.6174,0.7095,0.335
instruct,bare,B,mul,0.8475,0.8090,0.8794,0
instruct,bare,B,add,0.9825,0.9643,0.9915,0
instruct,paren,( B ),mul,0.755,0.7106,0.7946,0.0925
instruct,paren,( B ),add,0.9975,0.9860,0.9996,-0.015
instruct,add0L,( 0 + B ),mul,0.265,0.2241,0.3103,0.5825
instruct,add0L,( 0 + B ),add,0.995,0.9820,0.9986,-0.0125
instruct,add0R,( B + 0 ),mul,0.3375,0.2929,0.3852,0.51
instruct,add0R,( B + 0 ),add,0.9825,0.9643,0.9915,0
instruct,sub0,( B - 0 ),mul,0.1575,0.1251,0.1964,0.69
instruct,sub0,( B - 0 ),add,0.79,0.7474,0.8271,0.1925
instruct,mul1L,( 1 * B ),mul,0.58,0.5311,0.6274,0.2675
instruct,mul1L,( 1 * B ),add,0.9825,0.9643,0.9915,0
instruct,mul1R,( B * 1 ),mul,0.5125,0.4636,0.5611,0.335
instruct,mul1R,( B * 1 ),add,0.9925,0.9782,0.9974,-0.01
instruct,nest2,(( 0 + B )),mul,0.0375,0.0229,0.0609,0.81
instruct,nest2,(( 0 + B )),add,0.2525,0.2124,0.2973,0.73
instruct,nest3,((( 0 + B ))),mul,0.0125,0.0054,0.0289,0.835
instruct,nest3,((( 0 + B ))),add,0.2325,0.1938,0.2763,0.75
